STATEFIPS,STATE,zipcode,agi_stub,N02650,A02650
1,AL,35459,2,90,3443
1,AL,35459,3,50,2849
1,AL,35459,4,40,3554
1,AL,35459,5,0,0
1,AL,35459,6,0,0
1,AL,35460,1,130,1689
1,AL,35460,2,70,2255
1,AL,35460,3,40,3016
1,AL,35460,4,0,0
1,AL,35460,5,0,0
1,AL,35460,6,0,0
1,AL,35461,1,290,4109
1,AL,35461,2,180,6587
1,AL,35461,3,120,7739
1,AL,35461,4,60,5047
1,AL,35461,5,40,6159
1,AL,35461,6,0,0
1,AL,35462,1,1120,15444
1,AL,35462,2,500,17512
1,AL,35462,3,180,11083
1,AL,35462,4,100,8457
1,AL,35462,5,110,17367
1,AL,35462,6,0,0
1,AL,35463,1,370,5103
1,AL,35463,2,200,7189
1,AL,35463,3,120,7187
1,AL,35463,4,70,6233
1,AL,35463,5,70,9929
1,AL,35463,6,0,0
1,AL,35464,1,170,2329
1,AL,35464,2,50,1889
1,AL,35464,3,30,2053
1,AL,35464,4,0,0
1,AL,35464,5,0,0
1,AL,35464,6,0,0
1,AL,35466,1,880,11837
1,AL,35466,2,580,21420
1,AL,35466,3,360,22329
1,AL,35466,4,210,18294
1,AL,35466,5,220,31325
1,AL,35466,6,0,0
1,AL,35469,1,60,756
1,AL,35469,2,30,1206
1,AL,35469,3,30,2841
1,AL,35469,4,0,0
1,AL,35469,5,0,0
1,AL,35469,6,0,0
1,AL,35470,1,990,12775
1,AL,35470,2,500,18057
1,AL,35470,3,210,13024
1,AL,35470,4,120,10140
1,AL,35470,5,130,17223
1,AL,35470,6,30,13027
1,AL,35473,1,2440,31887
1,AL,35473,2,1690,62251
1,AL,35473,3,1050,65272
1,AL,35473,4,790,68530
1,AL,35473,5,800,104176
1,AL,35473,6,130,47992
1,AL,35474,1,1050,14286
1,AL,35474,2,770,27849
1,AL,35474,3,430,26452
1,AL,35474,4,260,23042
1,AL,35474,5,220,27388
1,AL,35474,6,20,6229
1,AL,35475,1,1820,22265
1,AL,35475,2,1360,50572
1,AL,35475,3,1050,66209
1,AL,35475,4,840,73320
1,AL,35475,5,1160,153613
1,AL,35475,6,200,96797
1,AL,35476,1,2070,29676
1,AL,35476,2,1100,38734
1,AL,35476,3,390,23861
1,AL,35476,4,170,14503
1,AL,35476,5,130,17401
1,AL,35476,6,40,23636
1,AL,35480,1,240,3231
1,AL,35480,2,170,6063
1,AL,35480,3,100,6192
1,AL,35480,4,60,5346
1,AL,35480,5,80,10698
1,AL,35480,6,0,0
1,AL,35481,1,640,9266
1,AL,35481,2,330,11865
1,AL,35481,3,160,9691
1,AL,35481,4,80,6673
1,AL,35481,5,90,14103
1,AL,35481,6,0,0
1,AL,35490,1,580,7807
1,AL,35490,2,450,16161
1,AL,35490,3,270,16864
1,AL,35490,4,210,18324
1,AL,35490,5,200,28971
1,AL,35490,6,0,0
